**** 09/02/17 19:32:26 ****** PSpice Lite (October 2012) ****** ID# 10813 ****

 ** Profile: "Trabalho-sim"  [ c:\orcad\orcad_16.6_lite\eletronica-iv-trabalho-pspicefiles\trabalho\sim.sim ] 


 ****     FOURIER ANALYSIS                 TEMPERATURE =   27.000 DEG C


******************************************************************************



FOURIER COMPONENTS OF TRANSIENT RESPONSE V(VOUT)



 DC COMPONENT =  -2.3581E-02

 HARMONIC   FREQUENCY     FOURIER     NORMALIZED     PHASE     NORMALIZED
    NO         (HZ)      COMPONENT     COMPONENT     (DEG)     PHASE (DEG)

     1    1.0000E+03   1.2723E+01   1.0000E+00   1.2246E+00   0.0000E+00
     2    2.0000E+03   6.0215E-03   4.7326E-04   9.6567E+01   9.4118E+01
     3    3.0000E+03   2.5477E-02   2.0024E-03   2.4467E+00  -1.2270E+00
     4    4.0000E+03   1.1189E-03   8.7937E-05   1.0369E+02   9.8789E+01
     5    5.0000E+03   1.9333E-03   1.5195E-04  -1.3474E+02  -1.4086E+02
     6    6.0000E+03   3.6781E-04   2.8909E-05  -1.0702E+02  -1.1437E+02
     7    7.0000E+03   9.9888E-04   7.8507E-05  -6.4669E+01  -7.3241E+01
     8    8.0000E+03   9.5036E-05   7.4695E-06  -1.2440E+02  -1.3420E+02
     9    9.0000E+03   1.0911E-03   8.5755E-05  -7.6945E+01  -8.7966E+01
    10    1.0000E+04   1.7854E-04   1.4033E-05  -1.2522E+02  -1.3747E+02
    11    1.1000E+04   9.3674E-04   7.3624E-05  -7.8336E+01  -9.1806E+01
    12    1.2000E+04   1.2649E-04   9.9415E-06  -9.8439E+01  -1.1313E+02
    13    1.3000E+04   1.0154E-03   7.9805E-05  -7.6315E+01  -9.2234E+01
    14    1.4000E+04   1.6599E-04   1.3046E-05  -1.1822E+02  -1.3536E+02
    15    1.5000E+04   8.8506E-04   6.9562E-05  -7.6448E+01  -9.4817E+01
    16    1.6000E+04   1.2384E-04   9.7332E-06  -8.8091E+01  -1.0768E+02
    17    1.7000E+04   9.6174E-04   7.5589E-05  -7.3449E+01  -9.4267E+01
    18    1.8000E+04   1.5880E-04   1.2481E-05  -1.1368E+02  -1.3572E+02
    19    1.9000E+04   8.3724E-04   6.5803E-05  -7.2103E+01  -9.5370E+01
    20    2.0000E+04   1.1541E-04   9.0705E-06  -8.7229E+01  -1.1172E+02
    21    2.1000E+04   8.9417E-04   7.0278E-05  -7.0868E+01  -9.6584E+01
    22    2.2000E+04   1.5217E-04   1.1960E-05  -1.1174E+02  -1.3868E+02
    23    2.3000E+04   7.9152E-04   6.2210E-05  -7.0180E+01  -9.8344E+01
    24    2.4000E+04   1.1389E-04   8.9513E-06  -8.9106E+01  -1.1850E+02
    25    2.5000E+04   8.2471E-04   6.4819E-05  -6.7283E+01  -9.7897E+01
    26    2.6000E+04   1.2752E-04   1.0022E-05  -1.0686E+02  -1.3870E+02
    27    2.7000E+04   7.4722E-04   5.8728E-05  -6.6561E+01  -9.9625E+01
    28    2.8000E+04   9.3531E-05   7.3512E-06  -9.3653E+01  -1.2794E+02
    29    2.9000E+04   7.4308E-04   5.8403E-05  -6.4261E+01  -9.9773E+01
